EntryID,Source,Year,Month,Day,Asking Price,Real Price,Street,No,Street2,No2,Size,Revenu,brut,net,Price,SalesPrice,yield,yields,Charges,CreditF,Credit,Annuite,CreditFonc,InitMiseAPrix,Comment,Type,"Date 
Completed"
351,Figaro,1882,5,6,0,0,Rue St-Didier,11,,,422,6700,0,,60000,,0.111666667,,,0,,,0,,,,India
352,Figaro,1882,5,6,0,0,Rue de la Bucherie,41,,,,3000,0,,30000,,0.1,,,0,,,0,,,,India
353,Figaro,1882,5,7,0,0,Passage Saulnier,3,,,,10800,0,,100000,,0.108,,,0,,,0,,,,India
354,Figaro,1882,5,8,0,0,Boulevard Menilmontant,42_44_46,Rue des Amandiers,1,,16815,0,,140000,,0.120107143,,,0,,,0,,,,India
355,Figaro,1882,5,10,0,0,Rue de Milan,6_8,,,1047.7,63042,0,,600000,,0.10507,,,0,,,0,,,,India
356,Figaro,1882,5,10,0,0,Rue Montmartre,56,,,572,23000,0,,300000,,0.076666667,,,0,,,0,,,,India
357,Figaro,1882,5,10,0,0,Rue de la Michodiere,2,,,,20395,0,,250000,,0.08158,,,0,,,0,,,,India
358,Figaro,1882,5,11,0,0,Rue de Clery,23,,,1030,96747,0,,1200000,,0.0806225,,,0,,,0,,,,India
359,Figaro,1882,5,12,0,0,Rue St-Maur,55,,,257.4,14030,1,,130000,,0.107923077,,,0,,,0,,,,India
360,Figaro,1882,5,12,0,0,Rue St-Maur,57,,,263.2,17010,1,,160000,,0.1063125,,,0,,,0,,,,India
361,Figaro,1882,5,12,0,0,Rue St-Maur,59,,,190.86,11020,1,,95000,,0.116,,,0,,,0,,,,India
362,Figaro,1882,5,12,0,0,Avenue de Clichy,8,,,,25000,0,,375000,,0.066666667,,,0,,,0,,,,India
363,Figaro,1882,5,12,0,0,Rue de Lille,49,,,,38140,0,,575000,,0.066330435,,,0,,,0,,,,India
364,Figaro,1882,5,13,0,0,Rue Vernon,14,,,,2250,0,,15000,,0.15,,,0,,,0,,,,India
